shelter_id,name,region,dong,facility_type,address,open_time,close_time,is_night_open,ac_count,fan_count,capacity
27,비산동 주민센터,대구 서구,비산동,공공시설,대구 서구 비산동 265번지,09:00,18:00,N,3,2,44
28,상중이동 경로당,대구 서구,상중이동,사회복지시설,대구 서구 상중이동 174번지,09:00,17:00,N,1,1,12
29,내당동 체육센터 로비,대구 서구,내당동,공공시설,대구 서구 내당동 37번지,06:00,22:00,N,5,1,40
30,내당동 노인복지관,대구 서구,내당동,사회복지시설,대구 서구 내당동 37번지,09:00,18:00,N,2,0,30
31,원대동 노인복지관,대구 서구,원대동,사회복지시설,대구 서구 원대동 277번지,09:00,18:00,N,3,3,26
32,비산동 체육센터 로비,대구 서구,비산동,공공시설,대구 서구 비산동 209번지,06:00,22:00,N,3,3,65
33,비산동 경로당,대구 서구,비산동,사회복지시설,대구 서구 비산동 217번지,09:00,17:00,N,1,3,21
34,상중이동 보건소,대구 서구,상중이동,공공시설,대구 서구 상중이동 32번지,09:00,18:00,N,4,0,23
35,상중이동 작은도서관,대구 서구,상중이동,공공시설,대구 서구 상중이동 98번지,09:00,21:00,N,1,1,21
36,원대동 보건소,대구 서구,원대동,공공시설,대구 서구 원대동 143번지,09:00,18:00,N,2,3,25
37,이천동 경로당,대구 남구,이천동,사회복지시설,대구 남구 이천동 277번지,09:00,17:00,N,2,0,11
38,대명동 경로당,대구 남구,대명동,사회복지시설,대구 남구 대명동 249번지,09:00,17:00,N,1,1,23
39,명덕동 노인복지관,대구 남구,명덕동,사회복지시설,대구 남구 명덕동 195번지,09:00,18:00,N,3,0,25
40,대명동 은행 지점,대구 남구,대명동,금융통신시설,대구 남구 대명동 217번지,09:00,16:00,N,3,3,14
41,명덕동 종합사회복지관,대구 남구,명덕동,사회복지시설,대구 남구 명덕동 161번지,09:00,21:00,Y,3,0,53
42,대명동 행정복지센터,대구 남구,대명동,공공시설,대구 남구 대명동 261번지,09:00,18:00,N,6,1,43
43,대명동 종합사회복지관,대구 남구,대명동,사회복지시설,대구 남구 대명동 62번지,09:00,21:00,Y,5,1,42
44,이천동 체육센터 로비,대구 남구,이천동,공공시설,대구 남구 이천동 299번지,06:00,22:00,N,5,0,53
45,봉덕동 주민센터,대구 남구,봉덕동,공공시설,대구 남구 봉덕동 136번지,09:00,18:00,N,2,2,37
46,명덕동 종합사회복지관,대구 남구,명덕동,사회복지시설,대구 남구 명덕동 38번지,09:00,20:00,N,4,3,40
47,대명동 보건소,대구 남구,대명동,공공시설,대구 남구 대명동 276번지,09:00,18:00,N,4,0,22
48,이천동 청소년문화의집,대구 남구,이천동,공공시설,대구 남구 이천동 146번지,10:00,22:00,Y,2,1,36
49,이천동 보건소,대구 남구,이천동,공공시설,대구 남구 이천동 284번지,09:00,18:00,N,4,2,20
50,봉덕동 경로당,대구 남구,봉덕동,사회복지시설,대구 남구 봉덕동 55번지,09:00,17:00,N,1,2,13
51,칠성동 주민센터,대구 북구,칠성동,공공시설,대구 북구 칠성동 105번지,09:00,18:00,N,3,1,40
52,구암동 주민센터,대구 북구,구암동,공공시설,대구 북구 구암동 27번지,09:00,18:00,N,4,3,38
53,침산동 은행 지점,대구 북구,침산동,금융통신시설,대구 북구 침산동 171번지,09:00,16:00,N,3,0,10
54,칠성동 주민센터,대구 북구,칠성동,공공시설,대구 북구 칠성동 219번지,09:00,18:00,N,2,3,47
55,태전동 행정복지센터,대구 북구,태전동,공공시설,대구 북구 태전동 280번지,09:00,18:00,N,3,0,49
56,침산동 작은도서관,대구 북구,침산동,공공시설,대구 북구 침산동 22번지,09:00,21:00,N,1,3,19
57,검단동 작은도서관,대구 북구,검단동,공공시설,대구 북구 검단동 128번지,09:00,21:00,N,1,2,21
58,구암동 경로당,대구 북구,구암동,사회복지시설,대구 북구 구암동 122번지,09:00,17:00,N,2,3,14
59,칠성동 종합사회복지관,대구 북구,칠성동,사회복지시설,대구 북구 칠성동 171번지,09:00,20:00,N,3,1,53
60,관음동 노인복지관,대구 북구,관음동,사회복지시설,대구 북구 관음동 196번지,09:00,18:00,N,3,1,23
61,침산동 보건소,대구 북구,침산동,공공시설,대구 북구 침산동 180번지,09:00,18:00,N,2,1,34
62,검단동 노인복지관,대구 북구,검단동,사회복지시설,대구 북구 검단동 205번지,09:00,18:00,N,2,0,26
63,검단동 주민센터,대구 북구,검단동,공공시설,대구 북구 검단동 261번지,09:00,18:00,N,2,2,41
64,관음동 청소년문화의집,대구 북구,관음동,공공시설,대구 북구 관음동 298번지,10:00,21:00,Y,2,2,30
65,검단동 행정복지센터,대구 북구,검단동,공공시설,대구 북구 검단동 161번지,09:00,18:00,N,3,3,62
66,지산동 청소년문화의집,대구 수성구,지산동,공공시설,대구 수성구 지산동 224번지,10:00,23:00,Y,2,2,26
67,범어동 청소년문화의집,대구 수성구,범어동,공공시설,대구 수성구 범어동 36번지,10:00,21:00,N,2,2,38
68,고산동 작은도서관,대구 수성구,고산동,공공시설,대구 수성구 고산동 210번지,09:00,21:00,N,1,2,24
69,황금동 은행 지점,대구 수성구,황금동,금융통신시설,대구 수성구 황금동 216번지,09:00,16:00,N,3,1,13
70,고산동 은행 지점,대구 수성구,고산동,금융통신시설,대구 수성구 고산동 281번지,09:00,16:00,N,2,2,16
71,범어동 주민센터,대구 수성구,범어동,공공시설,대구 수성구 범어동 297번지,09:00,18:00,N,3,1,43
72,지산동 작은도서관,대구 수성구,지산동,공공시설,대구 수성구 지산동 87번지,09:00,21:00,N,2,1,30
73,고산동 경로당,대구 수성구,고산동,사회복지시설,대구 수성구 고산동 121번지,09:00,17:00,N,2,2,12
74,고산동 주민센터,대구 수성구,고산동,공공시설,대구 수성구 고산동 13번지,09:00,18:00,N,2,1,34
75,범어동 노인복지관,대구 수성구,범어동,사회복지시설,대구 수성구 범어동 213번지,09:00,18:00,N,3,0,34
76,고산동 체육센터 로비,대구 수성구,고산동,공공시설,대구 수성구 고산동 125번지,06:00,23:00,Y,4,3,52
77,만촌동 행정복지센터,대구 수성구,만촌동,공공시설,대구 수성구 만촌동 91번지,09:00,18:00,N,3,3,54
78,고산동 청소년문화의집,대구 수성구,고산동,공공시설,대구 수성구 고산동 69번지,10:00,21:00,N,2,0,39
79,수성동 청소년문화의집,대구 수성구,수성동,공공시설,대구 수성구 수성동 259번지,10:00,21:00,N,3,3,44
80,진천동 보건소,대구 달서구,진천동,공공시설,대구 달서구 진천동 133번지,09:00,18:00,N,2,3,34
81,두류동 주민센터,대구 달서구,두류동,공공시설,대구 달서구 두류동 123번지,09:00,18:00,N,4,3,50
82,본리동 보건소,대구 달서구,본리동,공공시설,대구 달서구 본리동 140번지,09:00,18:00,N,2,2,27
83,본리동 작은도서관,대구 달서구,본리동,공공시설,대구 달서구 본리동 119번지,09:00,21:00,N,1,1,19
84,월성동 종합사회복지관,대구 달서구,월성동,사회복지시설,대구 달서구 월성동 170번지,09:00,20:00,N,3,3,43
85,진천동 보건소,대구 달서구,진천동,공공시설,대구 달서구 진천동 216번지,09:00,18:00,N,3,0,26
86,월성동 체육센터 로비,대구 달서구,월성동,공공시설,대구 달서구 월성동 4번지,06:00,22:00,N,3,3,55
87,본리동 주민센터,대구 달서구,본리동,공공시설,대구 달서구 본리동 280번지,09:00,18:00,N,3,3,47
88,진천동 노인복지관,대구 달서구,진천동,사회복지시설,대구 달서구 진천동 224번지,09:00,18:00,N,3,1,28
89,월성동 행정복지센터,대구 달서구,월성동,공공시설,대구 달서구 월성동 85번지,09:00,18:00,N,6,2,65
90,월성동 종합사회복지관,대구 달서구,월성동,사회복지시설,대구 달서구 월성동 202번지,09:00,20:00,N,5,0,59
91,진천동 체육센터 로비,대구 달서구,진천동,공공시설,대구 달서구 진천동 237번지,06:00,22:00,N,3,3,44
92,두류동 행정복지센터,대구 달서구,두류동,공공시설,대구 달서구 두류동 109번지,09:00,18:00,N,5,3,60
93,월성동 작은도서관,대구 달서구,월성동,공공시설,대구 달서구 월성동 42번지,09:00,22:00,Y,2,3,23
94,화원읍 청소년문화의집,대구 달성군,화원읍,공공시설,대구 달성군 화원읍 21번지,10:00,22:00,Y,2,0,45
95,화원읍 노인복지관,대구 달성군,화원읍,사회복지시설,대구 달성군 화원읍 79번지,09:00,18:00,N,2,0,39
96,논공읍 종합사회복지관,대구 달성군,논공읍,사회복지시설,대구 달성군 논공읍 132번지,09:00,20:00,N,3,1,44
97,다사읍 종합사회복지관,대구 달성군,다사읍,사회복지시설,대구 달성군 다사읍 84번지,09:00,20:00,N,5,0,54
98,다사읍 경로당,대구 달성군,다사읍,사회복지시설,대구 달성군 다사읍 295번지,09:00,17:00,N,3,0,19
99,유가읍 은행 지점,대구 달성군,유가읍,금융통신시설,대구 달성군 유가읍 125번지,09:00,16:00,N,2,0,19
100,화원읍 주민센터,대구 달성군,화원읍,공공시설,대구 달성군 화원읍 22번지,09:00,18:00,N,4,0,48
101,다사읍 청소년문화의집,대구 달성군,다사읍,공공시설,대구 달성군 다사읍 175번지,10:00,21:00,N,3,0,41
102,화원읍 은행 지점,대구 달성군,화원읍,금융통신시설,대구 달성군 화원읍 186번지,09:00,16:00,N,3,0,16
103,유가읍 종합사회복지관,대구 달성군,유가읍,사회복지시설,대구 달성군 유가읍 276번지,09:00,20:00,N,5,2,49
104,유가읍 보건소,대구 달성군,유가읍,공공시설,대구 달성군 유가읍 126번지,09:00,18:00,N,3,2,30
105,화원읍 주민센터,대구 달성군,화원읍,공공시설,대구 달성군 화원읍 292번지,09:00,18:00,N,3,1,44
106,구지면 은행 지점,대구 달성군,구지면,금융통신시설,대구 달성군 구지면 167번지,09:00,16:00,N,3,0,17
107,논공읍 보건소,대구 달성군,논공읍,공공시설,대구 달성군 논공읍 175번지,09:00,18:00,N,2,2,28
